scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
119,244.33716,911.7754,1.0,223.86328,899.59326,1.0,221.93164,924.58496,0.9433594,232.03711,908.73096,1.0
120,245.43164,912.0508,1.0,225.08594,899.4839,0.9995117,222.13281,925.416,0.9633789,233.14648,908.66406,1.0
121,247.05664,911.8887,1.0,227.40186,897.5469,0.9736328,221.91016,922.7217,0.94091797,234.92676,907.81226,1.0
122,248.08984,910.99414,1.0,228.72168,896.19727,0.93603516,222.64062,921.06836,0.9472656,236.04538,906.87305,1.0
123,248.05078,909.1416,1.0,228.51074,894.22266,0.9350586,222.40039,919.9922,0.97216797,236.271,903.96094,1.0
124,246.04492,905.22266,0.9638672,230.14844,888.6133,0.9423828,220.21301,910.3965,0.9472656,236.11932,900.355,1.0
125,245.08105,901.6797,1.0,231.09766,882.542,0.97216797,217.3086,905.09766,0.93359375,234.46582,895.80664,0.9589844
126,243.10986,898.22266,1.0,230.86523,879.15625,0.88183594,216.77734,898.4424,0.9863281,232.58984,892.8179,1.0
127,242.53418,897.0664,1.0,231.52734,875.9726,0.9057617,216.1211,894.5625,0.90234375,232.80273,889.53516,0.9921875
128,241.32227,894.834,1.0,232.0586,873.46875,0.890625,216.08984,891.30615,0.8432617,232.25,887.1797,0.9921875
129,241.58789,892.48926,0.96875,232.32422,872.4297,0.79003906,216.15039,886.8535,0.86816406,233.18945,883.8728,0.94091797
130,241.5332,891.06494,0.83984375,233.08594,870.07227,0.86865234,216.18945,884.33594,0.82714844,234.0498,881.7422,0.9116211
131,241.3711,888.8379,0.74902344,238.50586,864.08984,0.9169922,215.90234,874.88965,0.77685547,236.36841,877.1953,0.8417969
132,239.68555,887.4375,0.7441406,238.64648,862.56836,0.9189453,214.76562,872.8125,0.85839844,235.50366,874.71875,0.8959961
