scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
165,235.19298,749.0417,0.7449246,219.42903,751.6627,0.92479765,229.97606,767.27234,0.8664124,228.21973,757.5789,1.0
166,235.67017,759.2662,0.86641645,217.75858,760.95996,0.929521,228.66365,775.4901,0.91338253,227.98302,766.8597,1.0
167,234.36241,768.13354,0.8728707,218.3359,769.2781,0.9529575,227.17065,784.74927,0.88377196,226.79285,775.598,1.0
168,233.9963,778.61615,0.852522,214.91025,778.9888,0.93643636,224.4989,796.72,0.9607943,224.43144,786.1437,0.9533132
169,231.84819,789.3402,0.8430625,213.48149,791.1451,0.97057474,223.07005,807.89343,0.8631591,224.02817,797.1678,0.9708604
170,232.8952,800.7566,0.8817432,214.42236,804.0758,0.9699194,225.86188,820.61145,0.9913171,225.15266,808.52185,0.96801776
171,233.31987,812.6531,0.7729815,215.40273,816.1889,0.91083324,228.28046,832.19604,0.9032004,225.85959,820.99585,0.97756225
172,233.35672,825.0928,0.82982326,214.7773,829.03394,0.92502165,226.4738,844.68933,0.9525551,224.67723,833.9038,0.89503384
173,232.13962,837.808,0.8728918,212.72972,839.8402,0.9786154,223.1526,858.21234,0.9253426,223.48769,844.8269,0.9245507
174,230.29683,850.31555,0.90214694,211.51897,851.62384,0.9550894,221.91217,869.0608,0.95753896,220.64554,855.4899,0.9357055
175,230.89474,860.0789,0.8558964,211.35435,863.3277,0.95233095,224.11774,882.5644,1.0,222.45818,866.3026,0.9756062
