scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
133,803.29407,876.1144,0.9634545,791.2837,856.73395,0.9812224,782.1504,876.403,0.9505723,792.01807,871.1152,1.0
134,802.3586,875.274,0.93886477,791.28467,855.78436,0.9712643,782.1026,875.12695,0.9428822,790.9273,869.6523,1.0
135,800.9903,875.50916,0.9300598,790.70746,855.7381,0.966817,781.1905,874.1785,0.97922814,789.6913,869.5522,1.0
136,800.3075,875.7596,0.93330646,790.2302,856.0781,0.9645443,781.41785,874.1241,0.989465,789.40607,869.8299,1.0
137,799.4152,875.62146,0.92396235,789.5236,856.27216,0.9584321,781.3783,873.6278,1.0,788.46796,869.472,1.0
138,799.04156,875.7054,0.9130024,789.2043,856.6594,0.94959617,781.7665,873.5865,1.0,788.0823,869.5388,1.0
139,800.5421,875.5043,0.9284426,790.5031,856.5125,0.9553119,782.5952,873.615,0.9701364,789.4188,869.77356,1.0
140,799.99976,875.4257,0.8891151,790.5947,856.5342,0.951867,782.35547,873.02106,0.97828865,788.5466,869.0983,1.0
141,800.5293,874.42163,0.8751565,791.3687,855.87366,0.94094145,781.9153,872.7891,0.96275246,788.9345,868.5725,1.0
142,800.8772,873.9688,0.8878066,791.5105,855.9227,0.9425225,782.3568,873.18915,0.94791,789.366,868.5728,1.0
143,801.12946,873.283,0.8804203,791.9816,855.9973,0.93235236,782.64557,873.21484,0.9278496,789.7503,868.19904,1.0
144,801.6695,873.4813,0.8928124,791.88416,855.97,0.9385395,783.3119,873.6013,0.92729896,790.1452,868.4631,1.0
145,802.6431,874.40564,0.90924007,790.60815,856.9482,0.9682579,784.03467,876.40247,0.9052677,790.9086,870.0334,1.0
146,803.759,875.9784,0.9674152,789.70605,858.90643,1.0,784.64075,879.701,0.9501965,792.2317,872.1721,1.0
147,805.90607,876.96906,0.9015925,789.43555,861.18494,0.94309473,786.3683,881.48706,0.9801008,793.8631,873.5669,1.0
148,807.4741,877.28925,0.8911239,790.80444,862.0957,0.94723296,788.017,883.5624,0.9601795,795.1178,874.553,1.0
149,809.3679,876.7006,0.8464989,790.24097,862.0262,0.93410206,790.2102,884.6173,0.91664654,796.66486,874.20087,1.0
150,810.0669,877.3492,0.8587648,790.77496,861.7043,0.98550683,788.75714,885.2308,0.9950157,797.7932,873.48724,1.0
151,810.6035,877.6149,0.8439166,791.0255,860.7478,0.9748896,787.3362,885.0866,0.9826953,798.74036,872.7193,1.0
152,811.18243,878.242,0.8230291,791.26636,861.0706,0.964591,787.9257,885.8856,0.9870227,798.9683,872.95325,1.0
153,811.3328,876.9086,0.8201215,791.63184,861.17065,0.9571135,788.3251,885.7301,0.9986323,798.95593,873.08,1.0
154,811.4017,876.9373,0.8115542,791.70734,861.7272,0.9373499,788.9464,886.09235,0.9985567,798.9992,873.43744,1.0
155,811.07166,876.89294,0.83588517,791.86615,861.7152,0.93954366,788.79865,885.673,0.9963098,798.8123,873.5666,1.0
156,810.03125,876.85706,0.8783016,791.4324,861.67267,0.9518328,788.1483,885.3042,0.9933234,797.6658,874.15985,1.0
157,809.39984,876.53754,0.88762915,791.2019,861.1417,0.95766,787.445,884.07635,1.0,796.9431,873.90155,1.0
158,808.81104,876.3063,0.8972199,790.9857,861.396,0.9567258,787.46594,884.03467,1.0,796.24146,874.0947,1.0
159,809.472,876.6498,0.90194553,791.12317,862.4954,0.9493561,788.5423,885.37976,1.0,796.95264,874.64465,1.0
160,809.1825,876.54584,0.9115681,791.22577,862.3836,0.94771814,788.49457,884.9071,1.0,796.6034,874.5839,1.0
161,809.6588,878.4083,0.89315414,790.8334,861.90344,0.9610981,788.0248,885.4108,0.9972152,796.9186,874.3603,1.0
162,809.2419,878.8014,0.9158364,791.99695,862.089,0.9663075,787.9416,885.9038,1.0,796.2009,874.86945,1.0
163,809.72876,876.73145,0.88977814,791.019,862.0598,0.95952165,788.83234,885.8998,1.0,797.0852,874.47894,1.0
164,811.40576,877.1577,0.87324184,793.06494,862.671,0.94419163,790.22784,887.7445,0.98479456,798.8034,874.6085,1.0
165,812.1199,878.0171,0.8606428,793.0455,863.457,0.94220364,791.4666,888.43243,0.9558739,800.0505,874.8948,1.0
166,813.2197,877.92017,0.89041257,793.1464,864.56396,0.9514293,792.7253,890.1866,0.94255775,800.5912,875.6097,1.0
167,814.2665,877.8194,0.9217135,791.36755,865.00934,0.96606004,793.16876,890.27625,0.8552689,801.73413,875.678,1.0
168,813.92993,877.77075,0.9461196,792.1493,867.46277,1.0,795.65857,891.43713,0.88828933,801.6738,877.1585,1.0
169,814.9525,877.8412,0.9231456,792.72656,867.7979,1.0,796.999,892.3902,0.91318333,802.6343,877.28796,1.0
170,814.99585,877.3025,0.96743155,793.4633,868.4025,1.0,798.2494,893.83984,0.9664228,803.76013,877.5936,0.9944387
171,816.3758,877.15436,1.0,794.5669,870.00995,1.0,800.6327,894.89197,1.0,805.25684,878.2271,0.9630453
172,817.1433,876.1125,0.97698045,795.5249,870.6413,0.9980876,803.8108,894.1598,1.0,805.94867,878.3678,0.967714
173,817.3734,876.09344,0.9416158,796.28534,870.68756,0.9813796,804.2736,893.4869,1.0,806.26276,878.52466,0.9582481
174,817.4328,876.2239,0.9179244,796.3424,871.0509,0.97133857,803.99384,893.7979,1.0,806.2027,878.9842,0.95805997
175,816.71173,876.6252,0.90227836,796.0088,870.94385,0.9667266,803.1652,892.6379,1.0,805.48145,879.57715,0.9854691
176,814.99475,876.4882,0.81765044,796.2548,871.5597,0.9237933,803.3143,891.94135,0.97211355,805.0109,880.7414,1.0
177,814.5764,875.6372,0.79562324,796.7252,871.61005,0.9070363,803.41235,891.33276,0.9166488,805.0402,880.8034,1.0
178,814.34784,874.77246,0.7669173,797.2665,871.3525,0.88956827,803.7101,890.4972,0.90819293,805.3008,880.3113,1.0
179,815.11115,875.30457,0.77608985,797.3378,871.8118,0.90074134,804.178,891.6128,0.93359894,805.817,880.6017,1.0
180,815.21246,876.46155,0.79725003,796.8965,871.84045,0.90879583,803.48364,892.24927,0.9744609,805.5805,880.7918,1.0
181,815.06964,876.6721,0.8208225,796.44305,871.5893,0.91985595,802.8725,891.8016,0.9771495,805.0489,880.67,1.0
182,815.02155,877.18994,0.83280474,795.96576,871.42804,0.9300741,802.2962,891.8845,0.9862595,804.6533,880.6846,1.0
183,814.80804,878.1057,0.86670834,795.13916,871.38214,0.931131,801.7255,891.6929,1.0,803.8841,880.9169,1.0
