scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
102,816.2383,339.2207,0.92333984,798.51953,343.85547,0.94628906,811.3882,359.80664,0.97998047,808.5137,348.82178,1.0
103,816.0215,336.94922,0.9033203,798.51953,343.28125,0.93066406,812.3154,358.25,1.0,809.18164,346.9961,1.0
104,816.9922,336.09766,0.8774414,799.2051,344.1289,0.96191406,813.3721,356.68555,1.0,809.86523,345.01953,1.0
105,816.7285,334.94922,0.86279297,798.8047,343.55273,0.9633789,813.0449,356.03915,1.0,809.416,344.71875,0.9658203
106,816.8887,335.63477,0.86328125,798.67773,344.28125,0.95214844,813.1631,355.49854,0.99072266,809.7129,344.77148,1.0
107,816.52734,335.91406,0.8432617,797.72656,342.80078,0.9560547,812.8701,353.63867,0.95751953,809.7871,345.0078,0.96240234
108,813.74805,337.5664,0.80126953,794.3994,343.47266,0.91796875,809.9492,352.9922,0.9355469,806.62305,345.3496,0.9453125
109,810.57227,338.0166,0.8613281,793.91016,340.33325,0.93115234,805.5752,351.22266,0.85058594,803.37256,344.56445,0.99121094
110,809.4043,335.96484,0.8022461,795.7068,339.27246,0.87939453,805.8965,350.2461,0.8198242,803.417,342.95508,1.0
111,809.7676,334.95312,0.8105469,795.59644,338.30664,0.9165039,806.97656,350.78516,0.8408203,804.1449,341.95312,1.0
112,810.9297,334.39453,0.82714844,794.5596,338.38086,0.9614258,807.79297,350.9922,0.83935547,804.60645,341.77148,1.0
113,811.09375,332.9961,0.7783203,794.2842,338.27734,0.98876953,809.0918,351.9375,0.94189453,805.4365,341.03125,1.0
114,813.45703,331.94934,0.8251953,795.3657,339.2246,1.0,811.13135,353.49805,0.9863281,807.11523,341.23242,1.0
115,814.0547,333.59766,0.80859375,796.4153,339.8241,1.0,809.98047,352.7461,0.9760742,807.3789,342.04883,1.0
116,813.8203,333.91602,0.7661133,797.15137,340.00235,0.9628906,809.0293,351.28125,0.90625,806.70703,342.4004,1.0
117,811.00195,335.29297,0.75634766,796.6753,340.161,0.9638672,807.58203,352.21094,0.84814453,805.89844,343.03516,1.0
